,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
86,Adelie,1,36.3,19.5,190.0,3800.0,0
87,Adelie,1,36.9,18.6,189.0,3500.0,1
88,Adelie,1,38.3,19.2,189.0,3950.0,0
89,Adelie,1,38.9,18.8,190.0,3600.0,1
92,Adelie,1,34.0,17.1,185.0,3400.0,1
93,Adelie,1,39.6,18.1,186.0,4450.0,0
94,Adelie,1,36.2,17.3,187.0,3300.0,1
95,Adelie,1,40.8,18.9,208.0,4300.0,0
96,Adelie,1,38.1,18.6,190.0,3700.0,1
97,Adelie,1,40.3,18.5,196.0,4350.0,0
98,Adelie,1,33.1,16.1,178.0,2900.0,1
99,Adelie,1,43.2,18.5,192.0,4100.0,0
100,Adelie,0,35.0,17.9,192.0,3725.0,1
101,Adelie,0,41.0,20.0,203.0,4725.0,0
105,Adelie,0,39.7,18.9,184.0,3550.0,0
106,Adelie,0,38.6,17.2,199.0,3750.0,1
107,Adelie,0,38.2,20.0,190.0,3900.0,0
108,Adelie,0,38.1,17.0,181.0,3175.0,1
109,Adelie,0,43.2,19.0,197.0,4775.0,0
110,Adelie,0,38.1,16.5,198.0,3825.0,1
111,Adelie,0,45.6,20.3,191.0,4600.0,0
113,Adelie,0,42.2,19.5,197.0,4275.0,0
114,Adelie,0,39.6,20.7,191.0,3900.0,1
115,Adelie,0,42.7,18.3,196.0,4075.0,0
116,Adelie,2,38.6,17.0,188.0,2900.0,1
117,Adelie,2,37.3,20.5,199.0,3775.0,0
119,Adelie,2,41.1,18.6,189.0,3325.0,0
120,Adelie,2,36.2,17.2,187.0,3150.0,1
121,Adelie,2,37.7,19.8,198.0,3500.0,0
123,Adelie,2,41.4,18.5,202.0,3875.0,0
124,Adelie,2,35.2,15.9,186.0,3050.0,1
125,Adelie,2,40.6,19.0,199.0,4000.0,0
126,Adelie,2,38.8,17.6,191.0,3275.0,1
129,Adelie,2,44.1,18.0,210.0,4000.0,0
130,Adelie,2,38.5,17.9,190.0,3325.0,1
132,Adelie,1,36.8,18.5,193.0,3500.0,1
133,Adelie,1,37.5,18.5,199.0,4475.0,0
134,Adelie,1,38.1,17.6,187.0,3425.0,1
135,Adelie,1,41.1,17.5,190.0,3900.0,0
136,Adelie,1,35.6,17.5,191.0,3175.0,1
138,Adelie,1,37.0,16.5,185.0,3400.0,1
139,Adelie,1,39.7,17.9,193.0,4250.0,0
140,Adelie,1,40.2,17.1,193.0,3400.0,1
142,Adelie,1,32.1,15.5,188.0,3050.0,1
144,Adelie,1,37.3,16.8,192.0,3000.0,1
145,Adelie,1,39.0,18.7,185.0,3650.0,0
146,Adelie,1,39.2,18.6,190.0,4250.0,0
149,Adelie,1,37.8,18.1,193.0,3750.0,0
150,Adelie,1,36.0,17.1,187.0,3700.0,1
151,Adelie,1,41.5,18.5,201.0,4000.0,0
152,Gentoo,0,46.1,13.2,211.0,4500.0,1
153,Gentoo,0,50.0,16.3,230.0,5700.0,0
154,Gentoo,0,48.7,14.1,210.0,4450.0,1
155,Gentoo,0,50.0,15.2,218.0,5700.0,0
156,Gentoo,0,47.6,14.5,215.0,5400.0,0
157,Gentoo,0,46.5,13.5,210.0,4550.0,1
158,Gentoo,0,45.4,14.6,211.0,4800.0,1
159,Gentoo,0,46.7,15.3,219.0,5200.0,0
160,Gentoo,0,43.3,13.4,209.0,4400.0,1
161,Gentoo,0,46.8,15.4,215.0,5150.0,0
162,Gentoo,0,40.9,13.7,214.0,4650.0,1
163,Gentoo,0,49.0,16.1,216.0,5550.0,0
165,Gentoo,0,48.4,14.6,213.0,5850.0,0
166,Gentoo,0,45.8,14.6,210.0,4200.0,1
168,Gentoo,0,42.0,13.5,210.0,4150.0,1
170,Gentoo,0,46.2,14.5,209.0,4800.0,1
171,Gentoo,0,48.7,15.1,222.0,5350.0,0
172,Gentoo,0,50.2,14.3,218.0,5700.0,0
174,Gentoo,0,46.5,14.5,213.0,4400.0,1
175,Gentoo,0,46.3,15.8,215.0,5050.0,0
176,Gentoo,0,42.9,13.1,215.0,5000.0,1
177,Gentoo,0,46.1,15.1,215.0,5100.0,0
178,Gentoo,0,44.5,14.3,216.0,4100.0,0
179,Gentoo,0,47.8,15.0,215.0,5650.0,0
181,Gentoo,0,50.0,15.3,220.0,5550.0,0
182,Gentoo,0,47.3,15.3,222.0,5250.0,0
183,Gentoo,0,42.8,14.2,209.0,4700.0,1
184,Gentoo,0,45.1,14.5,207.0,5050.0,1
186,Gentoo,0,49.1,14.8,220.0,5150.0,1
188,Gentoo,0,42.6,13.7,213.0,4950.0,1
189,Gentoo,0,44.4,17.3,219.0,5250.0,0
190,Gentoo,0,44.0,13.6,208.0,4350.0,1
193,Gentoo,0,49.6,16.0,225.0,5700.0,0
195,Gentoo,0,49.6,15.0,216.0,4750.0,0
196,Gentoo,0,50.5,15.9,222.0,5550.0,0
197,Gentoo,0,43.6,13.9,217.0,4900.0,1
198,Gentoo,0,45.5,13.9,210.0,4200.0,1
199,Gentoo,0,50.5,15.9,225.0,5400.0,0
200,Gentoo,0,44.9,13.3,213.0,5100.0,1
201,Gentoo,0,45.2,15.8,215.0,5300.0,0
202,Gentoo,0,46.6,14.2,210.0,4850.0,1
203,Gentoo,0,48.5,14.1,220.0,5300.0,0
205,Gentoo,0,50.1,15.0,225.0,5000.0,0
207,Gentoo,0,45.0,15.4,220.0,5050.0,0
209,Gentoo,0,45.5,15.0,220.0,5000.0,0
211,Gentoo,0,50.4,15.3,224.0,5550.0,0
212,Gentoo,0,45.3,13.8,208.0,4200.0,1
213,Gentoo,0,46.2,14.9,221.0,5300.0,0
214,Gentoo,0,45.7,13.9,214.0,4400.0,1
215,Gentoo,0,54.3,15.7,231.0,5650.0,0
216,Gentoo,0,45.8,14.2,219.0,4700.0,1
217,Gentoo,0,49.8,16.8,230.0,5700.0,0
218,Gentoo,0,46.2,14.4,214.0,4650.0,0
220,Gentoo,0,43.5,14.2,220.0,4700.0,1
222,Gentoo,0,47.7,15.0,216.0,4750.0,1
223,Gentoo,0,46.4,15.6,221.0,5000.0,0
224,Gentoo,0,48.2,15.6,221.0,5100.0,0
226,Gentoo,0,46.4,15.0,216.0,4700.0,1
227,Gentoo,0,48.6,16.0,230.0,5800.0,0
229,Gentoo,0,51.1,16.3,220.0,6000.0,0
230,Gentoo,0,45.2,13.8,215.0,4750.0,1
231,Gentoo,0,45.2,16.4,223.0,5950.0,0
232,Gentoo,0,49.1,14.5,212.0,4625.0,1
233,Gentoo,0,52.5,15.6,221.0,5450.0,0
234,Gentoo,0,47.4,14.6,212.0,4725.0,1
236,Gentoo,0,44.9,13.8,212.0,4750.0,1
237,Gentoo,0,50.8,17.3,228.0,5600.0,0
239,Gentoo,0,51.3,14.2,218.0,5300.0,0
243,Gentoo,0,52.2,17.1,228.0,5400.0,0
246,Gentoo,0,44.5,14.7,214.0,4850.0,1
249,Gentoo,0,46.9,14.6,222.0,4875.0,1
250,Gentoo,0,48.4,14.4,203.0,4625.0,1
251,Gentoo,0,51.1,16.5,225.0,5250.0,0
252,Gentoo,0,48.5,15.0,219.0,4850.0,1
254,Gentoo,0,47.2,15.5,215.0,4975.0,1
255,Gentoo,0,49.1,15.0,228.0,5500.0,0
256,Gentoo,0,47.3,13.8,216.0,4725.0,0
257,Gentoo,0,46.8,16.1,215.0,5500.0,0
259,Gentoo,0,53.4,15.8,219.0,5500.0,0
260,Gentoo,0,43.3,14.0,208.0,4575.0,1
262,Gentoo,0,50.5,15.2,216.0,5000.0,1
265,Gentoo,0,51.5,16.3,230.0,5500.0,0
266,Gentoo,0,46.2,14.1,217.0,4375.0,1
267,Gentoo,0,55.1,16.0,230.0,5850.0,0
268,Gentoo,0,44.5,15.7,217.0,4875.0,0
270,Gentoo,0,47.2,13.7,214.0,4925.0,1
272,Gentoo,0,46.8,14.3,215.0,4850.0,1
274,Gentoo,0,45.2,14.8,212.0,5200.0,1
275,Gentoo,0,49.9,16.1,213.0,5400.0,0
276,Chinstrap,1,46.5,17.9,192.0,3500.0,1
277,Chinstrap,1,50.0,19.5,196.0,3900.0,0
279,Chinstrap,1,45.4,18.7,188.0,3525.0,1
281,Chinstrap,1,45.2,17.8,198.0,3950.0,1
283,Chinstrap,1,51.3,18.2,197.0,3750.0,0
284,Chinstrap,1,46.0,18.9,195.0,4150.0,1
285,Chinstrap,1,51.3,19.9,198.0,3700.0,0
286,Chinstrap,1,46.6,17.8,193.0,3800.0,1
287,Chinstrap,1,51.7,20.3,194.0,3775.0,0
290,Chinstrap,1,45.9,17.1,190.0,3575.0,1
292,Chinstrap,1,50.3,20.0,197.0,3300.0,0
293,Chinstrap,1,58.0,17.8,181.0,3700.0,1
294,Chinstrap,1,46.4,18.6,190.0,3450.0,1
295,Chinstrap,1,49.2,18.2,195.0,4400.0,0
296,Chinstrap,1,42.4,17.3,181.0,3600.0,1
297,Chinstrap,1,48.5,17.5,191.0,3400.0,0
299,Chinstrap,1,50.6,19.4,193.0,3800.0,0
300,Chinstrap,1,46.7,17.9,195.0,3300.0,1
301,Chinstrap,1,52.0,19.0,197.0,4150.0,0
302,Chinstrap,1,50.5,18.4,200.0,3400.0,1
303,Chinstrap,1,49.5,19.0,200.0,3800.0,0
308,Chinstrap,1,42.5,16.7,187.0,3350.0,1
309,Chinstrap,1,51.0,18.8,203.0,4100.0,0
311,Chinstrap,1,47.5,16.8,199.0,3900.0,1
313,Chinstrap,1,52.0,20.7,210.0,4800.0,0
314,Chinstrap,1,46.9,16.6,192.0,2700.0,1
315,Chinstrap,1,53.5,19.9,205.0,4500.0,0
318,Chinstrap,1,50.9,19.1,196.0,3550.0,0
320,Chinstrap,1,50.9,17.9,196.0,3675.0,1
321,Chinstrap,1,50.8,18.5,201.0,4450.0,0
323,Chinstrap,1,49.0,19.6,212.0,4300.0,0
324,Chinstrap,1,51.5,18.7,187.0,3250.0,0
325,Chinstrap,1,49.8,17.3,198.0,3675.0,1
326,Chinstrap,1,48.1,16.4,199.0,3325.0,1
328,Chinstrap,1,45.7,17.3,193.0,3600.0,1
330,Chinstrap,1,42.5,17.3,187.0,3350.0,1
331,Chinstrap,1,52.2,18.8,197.0,3450.0,0
332,Chinstrap,1,45.2,16.6,191.0,3250.0,1
333,Chinstrap,1,49.3,19.9,203.0,4050.0,0
335,Chinstrap,1,45.6,19.4,194.0,3525.0,1
336,Chinstrap,1,51.9,19.5,206.0,3950.0,0
337,Chinstrap,1,46.8,16.5,189.0,3650.0,1
338,Chinstrap,1,45.7,17.0,195.0,3650.0,1
339,Chinstrap,1,55.8,19.8,207.0,4000.0,0
341,Chinstrap,1,49.6,18.2,193.0,3775.0,0
342,Chinstrap,1,50.8,19.0,210.0,4100.0,0
343,Chinstrap,1,50.2,18.7,198.0,3775.0,1
