id,locn,species,lngth,wgt,ddt
69,TRM300,CATFISH,35,844,3
70,TRM300,CATFISH,36,908,13
71,TRM300,CATFISH,48,1358,7.3
72,TRM300,CATFISH,49,1019,15
73,TRM300,BUFFALO,35.5,1300,1.3
74,TRM300,BUFFALO,46,1365,4.8
75,TRM300,BUFFALO,45,1437,5.1
76,TRM300,BUFFALO,44.5,1460,5.1
77,TRM300,BUFFALO,49,1671,4
78,TRM300,BUFFALO,47.5,1717,10
79,TRM305,CATFISH,35,613,12
80,TRM305,CATFISH,51,353,22
81,TRM305,CATFISH,42.5,909,10
82,TRM305,CATFISH,38,886,11
83,TRM305,CATFISH,41,890,17
84,TRM305,CATFISH,47,1031,9.7
85,TRM310,CATFISH,45,1083,12
86,TRM310,CATFISH,45.5,864,4.7
87,TRM310,CATFISH,45,886,6
88,TRM310,CATFISH,45,965,3.8
89,TRM310,CATFISH,39,537,17
90,TRM310,CATFISH,40.5,630,12
91,TRM310,BUFFALO,46,1486,1.4
92,TRM310,BUFFALO,47,1743,6.1
93,TRM310,BUFFALO,48.5,2061,2.8
94,TRM310,BUFFALO,48,1707,4.8
95,TRM310,BUFFALO,38,862,5.7
96,TRM310,BUFFALO,38.5,911,3.3
97,TRM315,CATFISH,29.5,476,3.3
98,TRM315,CATFISH,42,743,3.7
99,TRM315,CATFISH,47.5,1128,9.9
100,TRM315,CATFISH,43.5,848,6.8
101,TRM315,CATFISH,47.5,1091,13
102,TRM315,CATFISH,43.5,715,8.8
103,TRM320,CATFISH,47.5,983,57
104,TRM320,CATFISH,51.5,1251,96
105,TRM320,CATFISH,49.5,1255,360
106,TRM320,CATFISH,47,1152,130
107,TRM320,CATFISH,47.5,1085,13
108,TRM320,CATFISH,47,1118,61
109,TRM320,BUFFALO,36,1285,12
110,TRM320,BUFFALO,34.5,1178,33
111,TRM320,BUFFALO,44.5,1492,48
112,TRM320,BUFFALO,46,1524,10
113,TRM320,BUFFALO,46,1473,44
114,TRM320,BUFFALO,32.5,520,0.43
115,TRM325,CATFISH,46,863,1100
116,TRM325,CATFISH,40,549,9.4
117,TRM325,CATFISH,43.5,810,4.1
118,TRM325,CATFISH,46.5,908,2.8
119,TRM325,CATFISH,43,804,0.74
120,TRM325,CATFISH,47.5,1179,14
121,TRM330,CATFISH,32,556,22
122,TRM330,CATFISH,40.5,659,9.1
123,TRM330,CATFISH,51.5,1229,140
124,TRM330,CATFISH,48,1050,4.2
125,TRM330,CATFISH,47,952,12
126,TRM330,CATFISH,41,826,2
127,TRM330,BUFFALO,33.5,599,0.3
128,TRM330,BUFFALO,47,1704,1.2
129,TRM340,CATFISH,50,1207,7.1
130,TRM340,CATFISH,45,911,180
131,TRM340,CATFISH,49,1498,1.5
132,TRM340,CATFISH,49.5,1496,2.4
133,TRM340,CATFISH,50,1142,4.3
134,TRM340,CATFISH,45,879,3.9
135,TRM340,BUFFALO,32.5,525,0.99
136,TRM340,BUFFALO,38,806,0.45
137,TRM340,BUFFALO,38.5,694,2.5
138,TRM340,BUFFALO,36,643,0.25
139,TRM345,BASS,26.5,514,0.58
140,TRM345,BASS,23.5,358,2
141,TRM345,BASS,30,856,2.2
142,TRM345,BASS,29,793,7.4
143,TRM345,BASS,17.5,173,0.35
144,TRM345,BASS,36,1433,1.9
