,Student,Employment,UndergradMajor,DevType,YearsCoding,YearsCodingProf,ConvertedSalary,EducationTypes,SelfTaughtTypes,TimeAfterBootcamp,LanguageWorkedWith,Gender,Age,RaceEthnicity
407,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;Product manager,18-20 years,9-11 years,17676.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",Four to six months,C#;SQL,Male,25 - 34 years old,South Asian
417,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Designer;Embedded applications or devices developer;Front-end developer;Full-stack developer;Mobile developer;System administrator,12-14 years,12-14 years,93840.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Immediately after graduating,Go;Java;JavaScript;Perl;PHP;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
424,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;System administrator,18-20 years,18-20 years,112000.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,C++;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,Male,35 - 44 years old,White or of European descent
429,No,Employed full-time,"Computer science, computer engineering, or software engineering",Designer;Full-stack developer,12-14 years,9-11 years,58340.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Tapping your network of friends, family, and peers versed in the technology;The technology’s online help system",I already had a full-time job as a developer when I began the program,Java;JavaScript;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
464,"Yes, part-time",Employed full-time,"A business discipline (ex. accounting, finance, marketing)",Front-end developer,0-2 years,0-2 years,12000.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Six months to a year,JavaScript;TypeScript;HTML;CSS,Male,18 - 24 years old,White or of European descent
561,No,Employed full-time,"Information systems, information technology, or system administration",Back-end developer;Front-end developer;Full-stack developer;Mobile developer,6-8 years,3-5 years,46992.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;Tapping your network of friends, family, and peers versed in the technology",I already had a full-time job as a developer when I began the program,C#;Java;JavaScript;PHP;SQL;TypeScript;HTML;CSS,Male,25 - 34 years old,White or of European descent
572,No,Employed full-time,"A humanities discipline (ex. literature, history, philosophy)",Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,0-2 years,0-2 years,63000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Tapping your network of friends, family, and peers versed in the technology",Immediately after graduating,C#;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
672,"Yes, full-time",Employed full-time,"Information systems, information technology, or system administration",Back-end developer,6-8 years,0-2 years,12312.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",Immediately after graduating,C;C++;C#;Groovy;Java;JavaScript;Lua;Perl;PHP;SQL;VB.NET;HTML;CSS,Male,18 - 24 years old,White or of European descent
708,No,Employed full-time,"A humanities discipline (ex. literature, history, philosophy)",Front-end developer,0-2 years,0-2 years,85000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",One to three months,JavaScript;HTML;CSS,Male,25 - 34 years old,White or of European descent
712,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Database administrator,9-11 years,0-2 years,96000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Tapping your network of friends, family, and peers versed in the technology",Four to six months,C++;Java;JavaScript;PHP;HTML;CSS,Male,25 - 34 years old,White or of European descent
736,No,Employed full-time,"A social science (ex. anthropology, psychology, political science)",Data or business analyst;Data scientist or machine learning specialist,3-5 years,0-2 years,44064.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","A book or e-book from O’Reilly, Apress, or a similar publisher",I already had a full-time job as a developer when I began the program,Python;R;SQL;CSS,Male,18 - 24 years old,White or of European descent
775,"Yes, full-time",Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Data scientist or machine learning specialist;Student,12-14 years,6-8 years,40000.0,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,C;C++;Matlab;Python;Bash/Shell,Male,25 - 34 years old,White or of European descent
779,No,Employed full-time,"Computer science, computer engineering, or software engineering",DevOps specialist;System administrator,15-17 years,15-17 years,99056.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;A college/university computer science or software engineering book;Questions & answers on Stack Overflow",I haven’t gotten a developer job,C++;Go;Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,Male,35 - 44 years old,White or of European descent
784,No,Employed full-time,"Fine arts or performing arts (ex. graphic design, music, studio art)",Front-end developer,3-5 years,0-2 years,75000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,Four to six months,JavaScript;HTML;CSS,Female,25 - 34 years old,White or of European descent
869,No,Employed full-time,"Computer science, computer engineering, or software engineering",Mobile developer,0-2 years,0-2 years,12000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Pre-scheduled tutoring or mentoring sessions with a friend or colleague;Tapping your network of friends, family, and peers versed in the technology",One to three months,C++;Objective-C;Swift,Male,25 - 34 years old,White or of European descent
1070,No,Employed full-time,Mathematics or statistics,Back-end developer,24-26 years,21-23 years,97233.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;F#;JavaScript;HTML;CSS,Male,45 - 54 years old,White or of European descent
1074,No,Employed full-time,"Computer science, computer engineering, or software engineering",Full-stack developer,6-8 years,0-2 years,1884.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I already had a full-time job as a developer when I began the program,JavaScript;HTML;CSS,Male,25 - 34 years old,South Asian
1100,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer,30 or more years,30 or more years,130000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;HTML;CSS,Male,55 - 64 years old,White or of European descent
1110,No,Employed full-time,"A humanities discipline (ex. literature, history, philosophy)",Data or business analyst;Data scientist or machine learning specialist;Designer,9-11 years,6-8 years,120000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Pre-scheduled tutoring or mentoring sessions with a friend or colleague",I already had a full-time job as a developer when I began the program,SQL,Male,35 - 44 years old,White or of European descent
1127,No,Employed full-time,"Computer science, computer engineering, or software engineering",DevOps specialist;Engineering manager,9-11 years,9-11 years,81576.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow",Less than a month,Groovy;Java;JavaScript;Perl;SQL;HTML;Bash/Shell,Male,35 - 44 years old,East Asian;South Asian
1149,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Front-end developer;Full-stack developer;QA or test developer,27-29 years,9-11 years,76512.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Contributed to open source software","A college/university computer science or software engineering book;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,Java;JavaScript;SQL;HTML;CSS;Bash/Shell,Male,35 - 44 years old,White or of European descent
1167,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Full-stack developer,15-17 years,12-14 years,115961.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",Six months to a year,C#;Go;Java;JavaScript;Scala;SQL;HTML;CSS;Bash/Shell,Male,35 - 44 years old,Middle Eastern
1224,No,Employed full-time,"A business discipline (ex. accounting, finance, marketing)",Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Full-stack developer;Mobile developer;System administrator,12-14 years,9-11 years,140000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Pre-scheduled tutoring or mentoring sessions with a friend or colleague;The technology’s online help system",I already had a full-time job as a developer when I began the program,C;JavaScript;Lua;Objective-C;Python;Ruby;SQL;Swift;HTML;CSS;Bash/Shell,Male,25 - 34 years old,Hispanic or Latino/Latina
1234,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer,15-17 years,6-8 years,71000.0,"Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,C++;C#;Groovy;JavaScript;PHP;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
1312,"Yes, part-time",Employed full-time,"Computer science, computer engineering, or software engineering",Database administrator;Designer;Full-stack developer,12-14 years,3-5 years,56365.0,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course","Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,Java;JavaScript;Matlab;SQL;HTML;CSS,Male,25 - 34 years old,White or of European descent
1384,No,Employed full-time,"Information systems, information technology, or system administration",Back-end developer;DevOps specialist;Full-stack developer,15-17 years,9-11 years,122359.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder);Participated in a hackathon;Contributed to open source software",The official documentation and/or standards for the technology;A college/university computer science or software engineering book;Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,Go;JavaScript;SQL,Male,25 - 34 years old,White or of European descent
1472,No,Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Designer;Engineering manager;Product manager,30 or more years,30 or more years,138904.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course","A book or e-book from O’Reilly, Apress, or a similar publisher;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;VB.NET;HTML;CSS,Male,45 - 54 years old,White or of European descent
1500,No,Employed full-time,"Information systems, information technology, or system administration",Back-end developer;DevOps specialist;Full-stack developer,9-11 years,6-8 years,12000.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course",Questions & answers on Stack Overflow;The technology’s online help system,I already had a full-time job as a developer when I began the program,C#;JavaScript;SQL;HTML,Male,25 - 34 years old,Middle Eastern
1505,No,Employed full-time,"Computer science, computer engineering, or software engineering","C-suite executive (CEO, CTO, etc.);Front-end developer;Full-stack developer;Product manager;QA or test developer",6-8 years,6-8 years,24420.0,"Participated in a full-time developer training program or bootcamp;Taken a part-time in-person course in programming or software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",I already had a full-time job as a developer when I began the program,C#;JavaScript;PHP;Python;SQL;TypeScript;HTML;CSS,Male,25 - 34 years old,South Asian
1541,No,Employed full-time,"Computer science, computer engineering, or software engineering",Full-stack developer,3-5 years,3-5 years,8610.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.)",Four to six months,C#;JavaScript;SQL;TypeScript;CSS,Male,25 - 34 years old,South Asian
1599,No,Employed full-time,"Computer science, computer engineering, or software engineering",Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer,9-11 years,9-11 years,3780.0,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees",One to three months,C#;JavaScript;SQL;HTML;CSS,Male,25 - 34 years old,White or of European descent
1623,No,Employed full-time,"A business discipline (ex. accounting, finance, marketing)",Front-end developer,0-2 years,0-2 years,80000.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon",The official documentation and/or standards for the technology;Questions & answers on Stack Overflow,Immediately after graduating,JavaScript;SQL;HTML;CSS,Male,25 - 34 years old,White or of European descent
1668,No,Employed full-time,"Another engineering discipline (ex. civil, electrical, mechanical)",Mobile developer,27-29 years,21-23 years,70000.0,"Participated in a full-time developer training program or bootcamp;Completed an industry certification program (e.g. MCPD);Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);The technology’s online help system",I already had a full-time job as a developer when I began the program,C;C++;Java;JavaScript;Objective-C;SQL;Swift;Kotlin;HTML;CSS,Male,45 - 54 years old,East Asian
1684,No,Employed part-time,I never declared a major,Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Full-stack developer;System administrator,3-5 years,3-5 years,57552.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Contributed to open source software","The official documentation and/or standards for the technology;A book or e-book from O’Reilly, Apress, or a similar publisher;Internal Wikis, chat rooms, or documentation set up by my company for employees",I already had a full-time job as a developer when I began the program,Java;JavaScript;PHP;Swift;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
1688,No,Employed full-time,Mathematics or statistics,Back-end developer;Designer;Front-end developer;Full-stack developer;Mobile developer,0-2 years,0-2 years,16884.0,"Taken an online course in programming or software development (e.g. a MOOC);Participated in a full-time developer training program or bootcamp;Taught yourself a new language, framework, or tool without taking a formal course;Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Online developer communities other than Stack Overflow (ex. forums, listservs, IRC channels, etc.);Pre-scheduled tutoring or mentoring sessions with a friend or colleague",Less than a month,C++;JavaScript;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,Male,18 - 24 years old,White or of European descent
1714,No,Employed full-time,"Information systems, information technology, or system administration",Back-end developer;Database administrator;Desktop or enterprise applications developer;Full-stack developer;System administrator,6-8 years,3-5 years,63835.0,"Participated in a full-time developer training program or bootcamp;Received on-the-job training in software development;Taught yourself a new language, framework, or tool without taking a formal course;Participated in a hackathon","The official documentation and/or standards for the technology;Questions & answers on Stack Overflow;Internal Wikis, chat rooms, or documentation set up by my company for employees;The technology’s online help system",I already had a full-time job as a developer when I began the program,C#;JavaScript;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell,Male,25 - 34 years old,White or of European descent
