,0,1
41,neg,i want to apply for a job to write at cracked but i don't think i'm funny enough. weird maybe but not funny 
42,neg,going to bed soon 
43,pos,@RaceSpeed I was JUST thinking of you!!! How are YOU my friend? Have you seen my new site yet? 
44,pos,Thanks Guys for a great bday weekend! You Guys Rock!  @myssmodelstar @CandiceNicolePR @Fashionista25 @TheRealestCiCi @SimplyShaki
45,neg,@houstondogshow way bummed that I'll be out of town for this years show! 
46,neg,Broke a personal record of waking up&amp;leaving for work.All under posnegmins.Not sure I could do it on daily basis.Had miss salat though 
47,pos,@bobbyllew RIsk it... Have been in the middle of a storm for the past 2 hours and have had no probs! 
48,neg,@CoolGuyGreg I am lost. Please help me find a good home. 
49,pos,@islandchic  love the soundtrack of that movie.
50,neg,@makavellirayne nah the lights killed the mood now you got to get out my bed 
51,neg,So sorry to hear about the passing of Ed McMahon 
52,pos,...and now giggling at Tre's views on Copeland... Very funny. Great interview yet again from Mr Hopkin 
53,neg,"I am so jealous of everyone who is leaving for Camp today. That should have been me!  Hope you all have fun, I will be praying for you!"
54,neg,"@KsanaC about what? I have no time to breath, so... "
55,pos,Hulu you're my hero today. Needed a distraction today. 
56,pos,See yeah later. I have to go to a party. Tah tah for now. 
57,neg,@unbekkant its suppose to say you can go ahead and start if you want  
58,neg,I have something in my eye! How annoying 
59,pos,@schaeferj89 I almost bought their new album today.. I should have. 
60,neg,"is still getting the odd cramp from sundays 7neg mile cycle, much swearing involved "
61,neg,Owh maybe not  shoot has been re arranged to the 3negth. NEXT week will be my first ahhhaaa.
62,pos,Yesterday I got one year using Blip.fm 
63,neg,"Had a lovely afternoon transplanting lettuce and tending the garden!  Forgot, however, to pick up my raw milk for the week "
64,neg,@929perthmusic I'd prefer Tamiflu to be honest.  But maybe it's just me 
65,pos,"yes the sun has moved. off to bathe in the sun, i love england when its warm and sunny haha  tooodles x"
66,pos,"Aww, 1negneg followers! I feel loved  I love you guys &lt;3 x"
67,pos,Just tweeting before church begins...playing keys today... yay 
68,pos,@FakerGigi Yes that's the one 
69,neg,"@nawtyuh I know this is lame, but I tried to use the aging cheat, and it wouldnt work for me.  I can't have my sims get old!!"
70,neg,i need mcfly's new cd! i couldn't find it that time  it was sold out.
71,pos,@WDC it's a song by MC Chris 
72,pos,Finished the radio ad wit rocio. We did freaken good 
73,neg,@eddieizzard i'm from los angeles and never heard that one! any chance on you coming back to l.a.?  missed your show   thx ... Sky
74,neg,needs more followers  tell your freinds ;)
75,neg,@sweet19 when was the stream party? awww...  too bad i didnt able to join...
76,neg,its nights like this i wish i had a dude to come home to  and cure the lonely nights...SMH! O well! im over it! lol
77,neg,Morale is low. We are running low on snus and Kolonopin. Forge the river Y/N ... N 
78,neg,Had a busy day and have sore feet. 
79,pos,"@Candyflip78 Walaw man, anytime. "
80,neg,the fergie room has now been renamed to the gaga room. 
81,neg,just decided as a spy I seriously suck 
82,pos,"Show over; after-dinner over; make-up, false eye lashes, &amp; contacts removed. Whew.  Fabulous day."
83,neg,@CatBud It is now raining 
84,neg,Looks like rain. 
85,pos,@ben_stiller Hi from Spain  magnific zoolander!
86,neg,@rentan the fever and chills are gone....but this nasty cough is annoying me to no end!! 
87,neg,@jakfury take pearla for a walk  she'll be sad if you don't.
88,neg,exhausted 
89,pos,"Night Twittafuckas  work in like pos hours. FML. Vallejo tomorrow, hey there bay area "
90,pos,Sundays Hike through Jesse Jones Park  http://twitpic.com/7iumh
91,neg,"maybe, hopefully, im overreacting. in that case, i am reminded of how humanly flawed i am "
92,neg,I'm sooo lost without my car  This is truly depressing. Pregnant people should NEVER be this stressed out!
93,neg,@iBrittanyAlexis I'm not graduating either 
94,pos,thinks twitter is a little boring 
95,neg,Dh-last time together 
96,pos,Terminator was a disappointment but no worries cause it is still great to be in DC....just got home about to finish up filth 
97,neg,@CreateandInvent sad and scary. 
98,pos,@baMbus3negnegneg That album is the business. 
99,neg,doesn't want to go back to work tomorrow 
100,neg,watching the prince of egypt  and studying microbio 
101,pos,Just discovered that VNC works even over uni.lu's eduroam.. 
102,pos,@JeepersMedia I Mean Really! Some People don't read your tweets?!?!? &quot;What are they thinking?!!??&quot; 
103,neg,"dont forget @ddlovato, family portrait @pink, because of you @kellyclarkson and even the climb @mileycyrus have the power to make me cry! "
104,neg,i spent £15 on the game thing in the pub  they are so bloody adictive
105,neg,yo theze Jersey cop are really getin it popin today they are pullin everybdy over  
106,neg,isn't lady-like enough to manage acrylic nails 
107,pos,Alex is back home again 
108,pos,@Yogeebaer haha I did throw something at him.. but he caught it and climbed up the side of my house. 
109,neg,@obliterated Poor your Mum.    But it's best for Sooty.
110,pos,On train with at least two gaggles of teenagers sitting &amp; the commuters squished standing in the back...at least the teenagers let me sit 
111,pos,ok! i found another naley FF. I'm gonna start reading now 
112,neg,"I just said goodbye to some friends  Hope I'll see them again. Tomorrow, Sweden!"
113,pos,"Now I'm really headed outside. Sunshine, bike ride, a wee sit by the river looking at reflections, listening to the rush of water, peace "
114,neg,i soooo want to get a Nikon D 9neg  damn y do they cost soooo much!
115,pos,@bakeanddestroy Beautiful! Where is it at? 
116,pos,@xlovespepsii yeaaaaah i know 
117,neg,going to bed! Missing my baby! Wish he was with me! 
118,pos,"@iamdiddy thanks for letting me share, i have been wanting to all day as i've been jammin on the road, lol...too funny.    happy day!  L"
119,pos,@MrsDDoubleU Let's hope it's a fact   Met the nicest ppl freezin my ass off there LOL
120,pos,"Time to get these doggies muddy out there, take care. laters peeps "
121,pos,just waking up... about to go on craigslist 
122,pos,Catching up with my Mum for lunch today  This past week Mum became a Great Grandmother - what an awesome moment for her !! Love U Mum xx
123,pos,@red_hawt bhel nagariya ki tum bhi dagariya chalo ..  tho i do happen to be in one of thos eplaces where it's barsaat even aaj ..
124,pos,@brybryy oh im not picky...   but ive moved into the reds for my favs.    
125,neg,Penzance. Journey from hell. Low light coming about 1negpm as light got low and I realised my headlights weren't working 
126,pos,NGH episode 28 is out! check it out! 
127,neg,#github down 
128,pos,Hahahah its ok well be loners together don't trip! Haha jk jk but alright I'm off to bed I got church in the morning  lol night
129,neg,@aidadoll  lmaooo i cant ur pic not workin for me 
130,neg,@fwkshpos28 im falling asleep cuz im so tired  lets switch
131,pos,@devilshadow lolllll that was funny 
132,pos,@purzlbaum 5. Have more sex  22c3 (Jahr 2negneg5) http://www.flickr.com/photos/leralle/7977657pos/in/photostream/
133,pos,is off to post Matojo to his new home in the USA 
134,pos,Hehehe i just went swimming and it was great! 
135,neg,Sigh. Looks like we'll be putting a whole new A/C. 
136,pos,"@KimGuanzon - here is one of the holga pictures, the only one I liked  http://www.flickr.com/photos/photogirl66/35837pos1586/"
137,neg,OMFG I AM COMPLETELY RETARDED. 
138,pos,@amber_rae oh my so pretty  I would love your city too! it's pouting down rain and cold here!
139,pos,I really need to go now. Goodnight twitter world! hugs&amp;xx 
140,neg,"@orrh Ah, eugenics. The saddest thing is... it's still around . "
141,neg,@dressjunkie about 6 weeks premature wee soul.  
142,neg,"The thunder never came  Was up at pos am, but there was nothing."
143,pos,@CharityDev thanks for the #followfriday recommendation &amp; (crazy) love 
144,neg,I still haven't put the songs on my ipod. I don't know how. Stupid itunes! Aren't I supposed to sync them? Cause it won't let me sync. 
145,pos,"@SheGotItSheBadd back 2 school soon neway... if i wake up i'll HAVE to go back to bed... aye i seen u tweet ur plan, it's a good plan too "
146,neg,Poo.  Looks like FL sis offline again.  
147,pos,@MartinOrton I don't do guns...  &amp; I don't need pepper spray - I use my bag to club them... LOL!
148,pos,"@countingcrows Bet that will make editing interesting, you'll be seeing everything the same speed as a fly, 26fps won't be quick enough "
149,neg,Left my fucken shorts at work no gym today 
150,pos,"@WhitlowVintage TY, was listening to some of your music~ "
151,pos,@daniel8neg5 wow babe it sounds like you guys are really having fantastic time! 
152,pos,@Jamie_Spears yeh thr a lot of fakes out there. A gd one is 2 take a pic pointing at today on calender and post it 
153,neg,I'm at hooters will my boys...I miss working here 
154,neg,Gonna shut down the PC nao. Be back tomorrow. Aww  Last week of summer. 
155,neg,@fionaflaherty Fi?? something wrong??  x
156,pos,GOOD MORNING TO ALL YOU LOVELY PEOPLE 
157,neg,My body hates me  excruciating pain. Last night in Newark and I'm sober hmm
158,neg,@leannenufc I've decided i hate these fixtures too. They're terrible...!! 
159,neg,i bought the sims 3!! when i went to install it my video card was not compatible  i have and nvidia geforce2  mx 1negneg/2negneg 
160,pos,@ThaEntertainer hello there my friend 
161,neg,Tell me Comedian what are you protecting society from? I shall tell you bloody TWILIGHT FANS 
162,neg,Listening to my brothers band &quot;tweety was delicious&quot;... pretty good. It's a shame they don't exist anymore 
163,pos,"@mariahglare: you are a wonderful combination of hilarious &amp; crea8tive--Sewing machines, cooking and lighting up the dark.   @demorebarnes"
164,pos,big hair rock day today me thinks  here I go again to start xxxxx ? http://blip.fm/~5zposp7
165,neg,@Malifaxis it always ends in tears.   
166,pos,Packed the tent and we're driving to Devon 
167,pos,@DanMerriweather That is so mean but I agree  I'd say rosemary is worse though. Tastes like soap.
168,neg,@Jasmine1993 hahah thatsss sickk.. hahha i really dont wanna miss origin ay 
169,neg, wish i was going to Arizona.
170,pos,"@jordanyup http://twitpic.com/7fc6s - Omg! you're so gorgeous , i love you ;)  and i love that glassed , good choise  "
171,pos,@silviaong u're using Twitter full-time now 
172,pos,i'm packing for one last trip before school 
173,neg,"@SzF_Stylist Honey! Im bored with twitter, few friends use it so its not that exciting  Hows things goining with the exams ? Good luck!!"
174,neg,"I gave up in updating about my msia klg trip. And I have got a large number of pictures to upload too. One word to describe, L-A-Z-Y. "
175,neg,@anastaciakayray    That stinks!  Well hopefully you'll get better from you're womanly stuff including hip pain  
176,neg,I think she jus shit her self  sad mouse
177,neg,"HOME ALONE! Woop, woop! Then I was shuffled a sad song, now I'm depressed  Damn you iTunes."
178,pos,just dominated her first online discussion for micro about gas prices and VAT  chicka YEAH!
179,neg,@OlafurArnalds It�s over.  But  &quot;Lj�si�&quot; is a nice song to end something beautiful.
180,neg,okay you all got it 
181,pos,Haha oh ash your a freak  ilu
182,pos,"@the_pink_taco soo explain your new twitter name, i`m sure there`s a beautiful story connected  ahaha"
183,neg,playing at graduation today. then heather and justins party. i can't believe they're leaving! 
184,neg,"Been in the office for ages, more than 3negneg emails cleared. Was wondering what felt wrong, then realised haven't had tea yet "
185,neg,"Gonna try out for Baybeats Photographer thing, doubt I'll make it though "
186,neg,@KDBabylon where the heck is my friend? Lol what u doin? Haven't talked to u all day! 
187,pos,I am sooo looking forward to Collectormania tomorrow  It's going to be a blast.
188,pos,@cathy_cochinaposneg Hey!  &quot;looks at you with sleepy eyes&quot;
189,neg,"The porkfloss bun here is nothing like the one I love from Bread Story back home. For this, and many other reasons, I miss home. "
190,neg,@brittanydailey It's making me depressed 
191,neg,My stuff is missing in my OWN room! Who could have done that~ Pls return it to me...Pls~ 
192,neg,i cant hear anything outta my left ear 
193,pos,is loving the fact that the weather is awesome 
194,neg,My jaw is swollen from taking a ball to the chin  We lost the last game. Time to freshen up &amp; have a pitcher of margarita @ La pinta!
195,pos,@JordanLindvall  you romantic you.
196,pos,@vadimkozhin why do you think so? 
197,pos,Twitvim is strong! at least I can use prosy 
198,neg,Its hard to look at my cat's bed...I miss him already and hope he is done soon   Am I dumb for being this crazy over his dental visit???
199,neg,is coughing like a dog. arf arf. 
200,neg,"i failed at my attempt to beat my record. i beat 99 characters in survival mode, and the 1negneg character Ultimate Rugal defeated me "
201,neg,"Because of the strong rain and few public vehicles and I have to be in office tomorrow early AM, decided to sleep in the office tonight "
202,neg,@foolest  let's all hang soon! the starting of my class got moved to june 22
203,neg,@AmazingPhil WARNING I went to see drag me to hell and I really didn't like it 
204,pos,@daisybruce Thats okay. Thank you 
205,pos,to be with you 
206,neg,suffering a serious headache and trying to type up exam this is not good 
207,neg,it's raining! and it's cold! and I wanna sleep! and other things too. shoot! I want my beeeed... 
208,neg,In need of stimulation and entertainment 
209,pos,"one of the opening bands is covering I Kissed A Girl. It pisses me off, cheese stick stealing whore! I wish you'd choked on it. "
210,neg,No Ask Erin Live today Tweeps... I'm sick and doing quiet projects from bed.  Sometimes I wish I could take a &quot;sick day&quot; but clients await
211,neg,poor Noie just fell on her skateboard and scraped up her elbow  im the worst sister ever i was like &quot;it'll make a cool scar&quot; haha
212,pos,Busss . heading to school .... 1neg6 &amp; park later on today w| my girlies 
213,pos,"Having some delicious breakfast my fiancee made - yes I am spoiled - next on the agenda, I don't know, that's the fun part "
214,neg,@iimaBarbiie OMFG tay tay im not evenn ya friendd no moreeee  im dumm mad u seddd thatt on thiss fuckkinq shit u dumm lil stupid bitch lol
215,neg,"I thought a fry-up would be a good idea but after the biggest fry-up ever, I think I over did it - suddenly feeling hungover "
216,pos,peter pan and wendy turned out fine so wont you fly with me  LOVE
217,neg,@toneloc8neg11 aww u wonley???? 
218,neg,@lindalopez srry I never got back to u! 
219,pos,@DonaGothika are fabulous that's what draws me in really are the stories and like being in a different world and place 
220,pos,see http://donorschoose.org/twt/2852neg3 at @donorschoose  Please and Thank you 
221,pos,Finishing getting ready! I'm rare like Mr. Clean with hair 
222,pos,"@Kdubbb youtube downloader  well, i got the link form youtube obvs. then youtube downloader, lol."
223,pos,"@MasterofWars Again, I say: Hah. "
224,pos,samuel uploaded a new image! http://hrimg.co.uk/view/pos15 
225,neg,"Was at work &amp; took care of cells early this morning. But, son has a fever, so I'm home the rest of the day taking care of him.  He's ok."
226,pos,"@amazondotjon http://twitpic.com/38ie2 - very cute  hahaha, the amount of teenie comments on here, you don't need another one, soooorry xD"
227,pos,"Rewritten #TI Dlog Module from #ASM to #C and implemeted a &quot;one-shot&quot; trigger, a trigger to stop and start recording and a free run mode "
228,neg,@armmer I'm basically dead in the water. I've wasted 3 days on this thing when I could've been coding FUbuMVC 
229,neg,@TaLisaDuhhh i miss bein 18 
230,pos,@firebelly 
231,neg,Sad that today was my last day of work at Harding School 
232,neg,@captain_erika Me grumpy because it rainy out and me no know what to do. Me want to play but me tired of playing trucks and coloring. 
233,pos,"@rikkinvikki Aww! that's so sweet!..but now I feel bad, I didn't get you anything heh..what would you like? "
234,pos,"Woo, I have a 2 room efficiency suite for the 18 nights I'm here. Totally awesome "
235,neg,@The_Reaper man! tweetdeck is aaaargh! im starting to hate it 
236,pos,@snarkyrainbow I don't think I have any goofy hats that you haven't seen. I'll have to go to a hat shop and take some. 
237,pos,"@HadudkenFire, awwww! that's so sweet "
238,pos,@next12exitsnegneg being happy is always fresh 
239,neg,June Gloom is back 
240,neg,@sigitt - Maybe  *sighs* TweetDeck acting funky too.
241,neg,Came back from jog.. Sore 
242,neg,"&quot;im so sick, infected with...&quot; all this food i ate. my fatty stomach is about to burst! "
243,neg,@xkot fuck i want a Broccolator so badly now  http://tinyurl.com/cb2epos6
244,neg,"GRRRRRRR! The puppy started whining again, and won't shut up. I'm never going to sleep again... "
245,neg,@maldenic The hobbling one. 
246,neg,@MarieLuv I need to get my butt to vegas cuz I never been 
247,neg,@animalfinders I am lost. Please help me find a good home. 
248,neg,"@davearthur Thanks David. I read about your Zpos, sorry  No help from londonfgss then? "
249,neg,"morning. planning for today: do nothing till 5 pm, 5pm-2am: work  blegh"
250,neg,is still feeling the dizziness from the accident 
251,pos,@al999 I just got this tweet from u. I'm watching rescue me season 2 
252,neg,@CrystalF  .... or yea by that too ... i shall be Mac Book Front Row
253,pos,;back from the lake. i just love the water &amp; love swimming 
254,pos,@ work! Watching true blood! 
255,neg,Must quit working pos 2night. Need rest. Going 2 watch The Bachelorette &amp; eat peanut butter &amp; honey toast. Ps. I'm not a fan of healthy PB. 
256,neg,Chips &amp; guac at Club de Capitanes. Wasting time bpos heading to the bus station - just said bye to &quot;Chemistry&quot; (my boat) for the summer. 
257,pos,"Not to worry, noone got that one. Next question starts in 1 minute, get your thinking caps on "
258,neg,@Uwila @tehgeekgirl bring me some magic pancakes please! I'm here at work! 
259,neg,@MM_Oporto and @Miaakoch just left my house 
260,pos,just got home from work 
261,neg,"exam tomorrow..  dammit, i just want a vacation :/"
262,pos,@DavidPopineau I don't understand everything but I'm sure you'll help me!!!! 
263,neg,Izzy: Morning! Just woken up and currently stuffing my face with toast (:. I have loads of work to do today  xx
264,pos,@CHRISDJMOYLES Chris Moyles!. I've Just Made a Twitter Account After Hearing You Talk About On Radio 1. Thanks Man 
265,neg,Off to Wichita for a wedding tonight. The next five extended family events will probably all be funerals 
266,pos,I took a picture of me looking at my bottle of antibacterial. Wicked 
267,pos,"american idol, boys over flowers. Temptations. Cant resist "
268,pos,"I am finally going to take advantage of my job, and buy expensive chandeliers for very cheap. yes! "
269,pos,Is sooo waking both of them up on my way back to SB  good night america
270,neg,@nicoleneg83 ugh. Ur no help 
271,pos,"@TWCWeekends Happy 27th birthday, you guys "
272,neg,Going back to NJ today.  
273,pos,Got 15neg Updates 
274,neg,@SpeedyG1212 I think it's supposed to rain all weekend! 
275,pos,@meriahonfiah hehe that's funny 
276,pos,@Sah5685 amazing!  I just couldn't put them down   lol
277,neg,I'm sooo confused! Isn't marriage supposed to be a positive thing? He's so mean and bossy! I really wish I had my friends here.  
278,pos,@sareeey he laughs like a swine. annoying. but congrats &lt;3 
279,neg,"Waiting For the Floor To Dry,Just Finish Moping!! RestLess  #fb"
280,neg,@mcclorybrin why u so bummed out ?! 
281,pos,patty griffin = party griffin 
282,neg,@David_Henrie My 1negneg$ calculator just broke and my math final is 2moro  i think you tweeting me back would make it much better!
283,pos,http://twitpic.com/7gs8q - Pics from Mitchel's Concert at the Grove. It's nice to be front and center 
284,neg,i think u all know what happened i had to many tweets  if i get too many tweets on here then i'll get mad
285,neg,lost $1neg at mahjong today 
286,pos,@lj2me Aiight. Sounds good 
287,pos,@shutupchago LOL. Awesome 
288,neg,@ReginaPearl DID IT WORK FOR U?  NOT FOR ME 
289,pos,@Mech_Engr_Girl You're not old. The song is old. 
290,neg,feels like drinking a good burgundy.... 
291,pos,@epicwinmaster  Hello new person being followed. I love you. &lt;3
292,neg,@xSmotherMe I don't want to write mine either.  it's a 2neg page term paper. i have 5 done.
293,neg,ahhhh! @uabblazer11 just ran over turtle! 
294,neg,@AnneAAM   do NF tweets count?
295,pos,going to class.. ttyl. hopefully making a video today. 
296,pos,@vishaltom 
297,pos,"bout to add FOB, Green Day and Blink t shirts to my order "
298,neg,"@jessomine Sorry!   These are PDFs, folks - apologies for not so stating earlier:  http://tinyurl.com/SpayNeuterEff  &amp; http://bit.ly/Ftv9neg"
299,pos,@myleee good night! i look forward to reading your tweets about life in Singapore 
300,neg,i dont know what i am going to do. 
301,neg,@Don_J i'm good thanx. u? gonna head to bed 
302,neg,"You feel me too, @finalmidday. "
303,pos,@d2zone Man..you do eat a lot of good food..hmm..kinda jealous..haha 
304,pos,"Back from hospital, now at work... later studio time "
305,neg,at the zoo! flamingos smell like urine 
306,neg,"@bookladysblog I was supposed to be reading it tonight, but I got behind in reviews "
307,neg,@Islandfire did you forget about me?  its my birthday too!! lol
308,neg,GO to the website www.3dl.am and than download the all songs videos for free REALLY i dont lie but the website is on german 
309,pos,"@CEEBOpos15 Get to it, the laundry doesn't do itself. Heh. "
310,pos,this tweet is for conor - to help him sleep at night. tweet tweet lmao 
311,neg,leaving camp  it was an amazing week! &amp; its juust the beginning of an amazing summer. now for some taco bell...
312,neg,Police? Where?  K!nG
313,pos,@Twisted_Pink I love them so much! You're awesome and so incredibly sweet  &lt;33
314,neg,@DenyceLawton Thank you for not reacting...   
315,neg,just gtting startd on this wha do ya do 
316,pos,new myspace hair picture up soon.  gotta edit out my ugly first ;)
317,pos,@mag_tweets It sounds off the hook. 
318,pos,"Woohoo! Ok, this time I really did figure out how to add Thickbox. The article pages should be easier to view now. "
319,neg,"@geoffgirardin I actually followed an ad on Facebook, believe it or not. Totally forgot what the store was called, though "
320,pos,One step closer towards the tipping point...the difference a day can make. 
321,pos,Pinkpop time  This weekend will be one of the greatest!!
322,neg,I meant sick 
323,neg,"Damn you pollen, damn you to hell!!! My throat hurts   I'm consoling myself with pocket tv. Matt edmundson has really nice hair."
324,pos,5neg days til the big move to DisneyWorld!! 
325,neg,It's literally raining on the pride parade. 
326,neg,"@anthonystonem He's not like that... ok, he is.  But he's intelligent, too. And funny."
327,neg,@cantlivewithout is this season's past eppies for SYTYCD anywhere online? this is killing me missing them. 
328,pos,@ralphtresvant wen r ya'll gona be bk in Cali? how bout 7-1neg-neg9 dream COME TRUE u &amp; @NKOTB FULL SERVICE LIVE 
329,pos,"@iliaa Now, now, you're assuming that they'd be able to make the necessary adjustments to tell that up is down "
330,neg,Lost with pos.7 seconds remaining   Better luck next season!!
331,neg,"still has the unwanted guest issue...they're SUPPOSEDLY leaving tomorrow, but for how long?  They only live in Kingston Springs "
332,pos,@Suksy couple of days back...had a really good trip 
333,neg,@DMSocialClub send some over... i ran out 
334,neg,@dyellagurl I miss u and bbm  I am out of the loop
335,pos,@xDinna clicked yours  so what do the newest counts say about visitors clicking my link on your site?
336,pos,@lisle lol how much is the buffet? Might give it a try one day! 
337,neg,@CarlosSP Sent wednesday 
338,pos,http://twitpic.com/6ckrg - bumble-bee 
339,pos,@Soul_Angel our wish was granted 
340,pos,Not a very lovely day today up here  Weather doesn't seem to know what to do 
341,neg,"Basic business principle from ages past: captive audiences represent profit. So consumers, - bring packed lunches or accept the hit. "
342,pos,is pissed off fuck u 
343,pos,@johnhood I will be following via my iPhone 
344,pos,welcoming the storm 
345,pos,@joshgroban welcome to twitter josh!  Don't be scared...  
346,pos,"Great, thanks for that @ashantiomkar - good to get a second opinion "
347,neg,@iphoneincanada &amp; @allthingsconnor sorry for your loss tonight guys 
348,pos,"@zaridz u mean i love industry or love being a biatch? ;p it didnt hv to reveal my dark side, but yea.. its good to be able to be one "
349,neg,"work, work, work "
350,neg,One of my students broke one of my nails today  It hurt soooooooo  bad!!!
351,neg,omg my phone jus broke   and i bet its not insured
352,pos,myspace and phone  
353,pos,Just woke up. Going to school today. 
354,neg,"I should go to bed ... it's blimmen cold here, and my heater gave up the ghost yesterday. "
355,pos,@ddlovato Haha love youu demi! just saw you on MTV. don't forget. love that song!  wish i could see you on tour with david archuleta.
356,pos,"@missdmaree I did meet Hubs here. We were joking yesterday, We've only known each other 2 years! Quality knowledge, I told him "
357,pos,@teleken Why do I find last.fm so complicated? I'm going to have to take a break and come back another time... blip.fm for now 
358,neg,"My MOH bailed out, and my sister let me down.. wait.. thats the same event..  I love my little man.. he takes such good care of his mommy!"
359,pos,Good morning germany 
360,pos,@JudyObscure LOL. Me and you both. Just brought a line full of dry washing in 
361,pos,@dhiletorr theyk yew  lols.
362,neg,Bored at work  HELP ME!!!!
363,pos,"today i caught a chansey, scyther and a tangela! All quite rare making me very happy "
364,neg,im bored while watchin nascar 
365,neg,gutted hatton lost!!! 
366,neg,@Courtney_J_ I wish I had a cat to lay on me when I got home 
367,pos,@sleepydumpling  Thanks! They're even cuter (and naughtier) in person.
368,neg,Love sucks  But this on the other hand: http://lookbook.nu/look/169521-ramtarammtamtamdamt   really cool **
369,neg,didn't see any celebs though  boo.
370,pos,@bevbrossy I just wish there was an easy QUICK way to group or identify them on my list. tx for the follow 
371,neg,traveling for next 3 weeks - I will be in way too many time zones for my brain and body to handle 
372,neg,@MrMessyFace It's Saturday evening here. I don't wanna wake up in the middle of the night to post. Turn updates off for me til you get up 
373,neg,Another week of school  weekend went SO FAST
374,pos,@XxChrisHeartsxX excuse me...I wasn't the one who showed up with cowboy boots to tiger...ray  u know what I am talking about lol
375,neg,is feeling rather sad 
376,neg,"@Katieee_b Great thanks, I'll check that out. So tired  Just want to have my notes finito by tomorrow so I can wake up &amp; practice Qs!"
377,neg,bad bad nightmare type situation..... screamed bloody murder. Not cooool 
378,pos,@CollinEarl  Thank you for the #FF &lt;3
379,neg,@chandlergrace   that sucks!  Hope you all are doing well.
380,pos,@Quiggmate Heyaa .. Any news about Tpos On The Beach yet?  x
381,pos,Playing pokemon mystery dungeon 
382,neg, more storms. God keep us safe Refinnyj &lt;&gt; Mat123pos
383,pos,Will go out on Saturday. Plans anyone? 
384,pos,@HayyItsRay i'm not weird. I love going to Costco. 
385,neg,cbfked signing into msn lol!  My hands hurt 
386,pos,"@thebrandycyrus have fun with mandy  what about miley? does she hike, too? have fun together  love you"
387,pos,recap me on your epik nighhht i know y'all got stories to tell me 
388,pos,"@djmoe713 lol...naw, promised my bro id chill out on drinking "
389,pos,"It's cold , and I'm not whining . "
390,pos,@leah_art @magpiegirl  i would second leah's suggestion.  
391,pos,At breakfast with midget and inna 
392,neg,@mumphlett I tried to fix it...to no avail  
